Year,NoFire,WithSmoke,WithLAI,WithFire
2015,0,-0.32,1.6,1.28
2016,0,0,5.12,5.12
2017,0,-1.39,5.01,3.34
2018,0,-0.87,11.27,10.12
2019,0,0,11.38,11.38
2020,0,0,10.05,9.79
