Year,WithFire,WithSmoke,WithSoot,NoFire
2015,3245.791536246,3197.9301256492,3256.5782202542,3208.2930077976
2016,3550.450116237,3386.75493348101,3550.450805285,3386.75559236101
2017,3794.29543114,3623.71740169,3849.80427584,3674.212305304
2018,3886.490321654,3503.9037312,3923.00751456,3531.70757225
2019,4155.48224124,3729.99891956,4155.4899955,3730.00543988
2020,4206.50191642801,3830.793418694,4214.077926369,3836.742980598
