Date,NoFire,WithSmoke,WithLAI,WithFire
11-Aug-2017,0,0,6,6
12-Aug-2017,0,-4,5,0
13-Aug-2017,0,1,2,2
14-Aug-2017,0,-1,1,0
15-Aug-2017,0,-4,4,-1
16-Aug-2017,0,-2,3,1
17-Aug-2017,0,-6,6,-1
11-Aug-2018,0,0,2,2
12-Aug-2018,0,1,2,2
13-Aug-2018,0,-2,9,6
14-Aug-2018,0,-1,5,3
15-Aug-2018,0,-4,9,4
16-Aug-2018,0,-1,8,7
17-Aug-2018,0,-3,10,6
