WxType,Ta,RH,U,SWin,LWin
Clear,7.61176484444318,58.7666361218785,4.95414370166228,271.626832817493,280.495758199731
Mixed,6.95185909581441,65.5101678979344,5.33543818581929,233.985892653266,299.975084584869
Cloudy,5.39406141335633,74.1487678187376,5.65865549661887,146.751346350503,312.3675854399
Light Smoke,8.02151879723966,60.1878650894833,5.65031458152289,192.358673758266,297.748495809763
Dense Smoke,8.58320104017568,54.0275452258072,6.04909801621868,168.488817315864,290.766004320816
