time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41898.08333	0	0.560229	0.535743	37.4625	12.29
41898.125	0	0.560229	0.534902	37.3975	12.2925
41898.16667	0	0.560229	0.522542	38.14	11.64
41898.20833	0	0.560229	0.543952	40.9925	11.1575
41898.25	0	0.560229	0.554666	41.925	11.1125
41898.29167	7.91568	0.560229	0.578879	47.055	10.0225
41898.33333	123.628	0.560229	0.57494	49.525	9.16
41898.375	298.136	0.560229	0.570155	48.865	9.235
41898.41667	461.242	0.560229	0.571627	48.5475	9.37
41898.45833	594.721	0.560229	0.569768	48.4875	9.34
41898.5	685.286	0.560229	0.553181	45.17	9.955
41898.54167	726.01	0.560229	0.558048	45.575	9.9525
41898.58333	713.877	0.560229	0.550572	45.305	9.84
41898.625	649.782	0.560229	0.509683	42.2725	9.7225
41898.66667	538.517	0.560229	0.514484	44.6325	9.055
41898.70833	389.58	0.560229	0.489748	43.7925	8.6075
41898.75	217.829	0.560229	0.440104	41.615	7.78575
41898.79167	54.2127	0.560229	0.427417	41.2	7.50425
41898.83333	0	0.560229	0.429443	39.75	8.09875
41898.875	0	0.560229	0.493218	44.26	8.555
41898.91667	0	0.560229	0.46407	39.5125	9.3325
41898.95833	0	0.560229	0.416805	35.0725	9.5075
41899	0	0.560229	0.386321	28.455	11.5025
41899.04167	0	0.396811	0.399531	30.37	11.0275
41899.08333	0	0.396811	0.500691	43.9675	8.875
41899.125	0	0.396811	0.53244	47.2325	8.725
41899.16667	0	0.396811	0.545188	49.265	8.4525
41899.20833	0	0.396811	0.535324	46.4875	9.04
41899.25	0	0.396811	0.574408	46.59	10.055
41899.29167	6.50901	0.396811	0.692412	62.76	8.4075
41899.33333	117.885	0.396811	0.716419	64.5625	8.4925
41899.375	291.788	0.396811	0.716935	60.8575	9.3775
41899.41667	454.628	0.396811	0.735653	63.54	9.12
41899.45833	588.14	0.396811	0.7655	69.81	8.3175
41899.5	678.746	0.396811	0.802555	75.3125	7.89725
41899.54167	719.491	0.396811	0.81125	78.2175	7.50075
41899.58333	707.351	0.396811	0.792156	75.6375	7.643
41899.625	643.224	0.396811	0.754939	71.2025	7.82325
41899.66667	531.917	0.396811	0.750065	70.6825	7.83575
41899.70833	382.982	0.396811	0.772886	75.375	7.33375
41899.75	211.491	0.396811	0.763099	75.585	7.10725
41899.79167	49.8149	0.396811	0.762227	75.0225	7.1995
41899.83333	0	0.396811	0.769324	76.165	7.11425
41899.875	0	0.396811	0.769556	76.5325	7.0485
41899.91667	0	0.396811	0.760001	76.8825	6.80025
41899.95833	0	0.396811	0.750618	76.3025	6.72975
41900	0	0.396811	0.754763	77.2725	6.62625
41900.04167	0	0.26987	0.758969	76.86	6.78475
41900.08333	0	0.26987	0.755955	77.825	6.54575
41900.125	0	0.26987	0.761604	76.8925	6.829
41900.16667	0	0.26987	0.777803	78.7375	6.79025
41900.20833	0	0.26987	0.765548	77.645	6.7625
41900.25	0	0.26987	0.732132	74.4925	6.71625
41900.29167	5.20972	0.26987	0.702919	72.095	6.6
41900.33333	112.189	0.26987	0.705422	73.89	6.295
41900.375	285.257	0.26987	0.643056	62.225	7.448
41900.41667	447.979	0.26987	0.665458	66.565	6.964
41900.45833	581.516	0.26987	0.681053	71.105	6.34225
41900.5	672.157	0.26987	0.685652	70.9875	6.46375
41900.54167	712.92	0.26987	0.662641	66.9125	6.8265
41900.58333	700.775	0.26987	0.704906	74.38	6.18875
41900.625	636.62	0.26987	0.704443	74.755	6.1065
41900.66667	525.277	0.26987	0.692969	74.125	5.9915
41900.70833	376.524	0.26987	0.683292	73.365	5.93725
41900.75	205.153	0.26987	0.676087	71.895	6.0765
41900.79167	45.6417	0.26987	0.668818	71.4525	6.0095
41900.83333	0	0.26987	0.655718	69.9125	6.0385
41900.875	0	0.26987	0.643372	69.9825	5.74975
41900.91667	0	0.26987	0.631397	68.6275	5.76075
41900.95833	0	0.26987	0.606551	64.7375	6.0235
41901	0	0.26987	0.645686	71.3625	5.52025
41901.04167	0	0.445512	0.647941	71.4625	5.55025
41901.08333	0	0.445512	0.650246	73.7325	5.152
41901.125	0	0.445512	0.577269	60.83	6.20825
41901.16667	0	0.445512	0.612178	66.36	5.7995
41901.20833	0	0.445512	0.601247	63.7125	6.12725
41901.25	0	0.445512	0.564603	56.5775	6.938
41901.29167	4.04791	0.445512	0.567102	55.6625	7.24
41901.33333	106.537	0.445512	0.540762	52.4825	7.4045
41901.375	278.881	0.445512	0.533944	51.765	7.42025
41901.41667	441.297	0.445512	0.525704	50.465	7.56475
41901.45833	574.851	0.445512	0.524401	49.58	7.7875
41901.5	665.521	0.445512	0.507304	47.705	7.86675
41901.54167	706.301	0.445512	0.522586	50.56	7.45025
41901.58333	694.152	0.445512	0.508639	49.4825	7.36975
41901.625	629.972	0.445512	0.479755	47.3075	7.1725
41901.66667	518.6	0.445512	0.425256	41.2025	7.42925
41901.70833	369.874	0.445512	0.446266	44.5575	6.99075
41901.75	198.82	0.445512	0.456984	48.525	6.0975
41901.79167	41.699	0.445512	0.400082	41.3325	6.495
41901.83333	0	0.445512	0.435766	47.6675	5.66875
41901.875	0	0.445512	0.459143	51.2	5.392
41901.91667	0	0.445512	0.468483	50.3175	5.9325
41901.95833	0	0.445512	0.537427	54.035	6.88925
41902	0	0.445512	0.582035	57.4975	7.146
41902.04167	0	0.593448	0.597979	57.705	7.488
41902.08333	0	0.593448	0.592666	56.7125	7.61125
41902.125	0	0.593448	0.597762	56.085	7.89975
41902.16667	0	0.593448	0.604182	54.735	8.415
41902.20833	0	0.593448	0.609819	56.07	8.197
41902.25	0	0.593448	0.604015	56.8875	7.844
41902.29167	3.10792	0.593448	0.608107	56.1775	8.1275
41902.33333	100.953	0.593448	0.588846	56.4925	7.5735
41902.375	272.328	0.593448	0.589236	56.0225	7.7055
41902.41667	434.586	0.593448	0.577787	53.04	8.2205
41902.45833	568.146	0.593448	0.572798	54.63	7.65975
41902.5	658.842	0.593448	0.571095	54.37	7.686
41902.54167	699.636	0.593448	0.590111	54.175	8.2195
41902.58333	687.482	0.593448	0.54439	43.89	10.145
41902.625	623.281	0.593448	0.529075	45.605	9.15
41902.66667	511.887	0.593448	0.496152	39.305	10.4075
41902.70833	363.37	0.593448	0.4248	30.2775	12
41902.75	192.496	0.593448	0.431636	30.5475	12.1075
41902.79167	37.8474	0.593448	0.481863	36.0075	11.285
41902.83333	0	0.593448	0.491342	37.3675	11.02
41902.875	0	0.593448	0.496852	35.665	11.8925
41902.91667	0	0.593448	0.506582	37.505	11.425
41902.95833	0	0.593448	0.543088	40.785	11.21
41903	0	0.593448	0.554393	40.97	11.4525
41903.04167	0	0.576178	0.585557	41.8525	11.9575
41903.08333	0	0.576178	0.591129	41.0375	12.4
41903.125	0	0.576178	0.585754	38.0875	13.4
41903.16667	0	0.576178	0.639983	42.2775	13.1575
41903.20833	0	0.576178	0.632459	44.76	12.1075
41903.25	0	0.576178	0.628377	45.33	11.8175
41903.29167	2.1958	0.576178	0.629176	44.25	12.2025
41903.33333	95.4202	0.576178	0.645052	44.495	12.4975
41903.375	265.767	0.576178	0.650436	45.1325	12.4075
41903.41667	428.016	0.576178	0.651775	45.93	12.1725
41903.45833	561.405	0.576178	0.643091	45.5725	12.0875
