sr50_2016t,sr50_2016,sr50_2017t,sr50_2017,sr50_2018t,sr50_2018,sr50_2019t,sr50_2019,sr50_2020t,sr50_2020
2016-06-30 0:00,1.359,2017-06-30 0:00,NaN,2018-06-30 0:00,1.354,2019-06-30 0:00,0.724,2020-06-30 0:00,NaN
2016-06-30 0:15,1.354,2017-06-30 0:15,NaN,2018-06-30 0:15,1.353,2019-06-30 0:15,0.723,2020-06-30 0:15,NaN
2016-06-30 0:30,1.357,2017-06-30 0:30,NaN,2018-06-30 0:30,1.35,2019-06-30 0:30,0.722,2020-06-30 0:30,NaN
2016-06-30 0:45,1.363,2017-06-30 0:45,NaN,2018-06-30 0:45,1.356,2019-06-30 0:45,0.721,2020-06-30 0:45,NaN
2016-06-30 1:00,1.359,2017-06-30 1:00,NaN,2018-06-30 1:00,1.352,2019-06-30 1:00,0.72,2020-06-30 1:00,NaN
2016-06-30 1:15,1.355,2017-06-30 1:15,NaN,2018-06-30 1:15,1.353,2019-06-30 1:15,0.721,2020-06-30 1:15,NaN
2016-06-30 1:30,1.345,2017-06-30 1:30,NaN,2018-06-30 1:30,1.349,2019-06-30 1:30,0.723,2020-06-30 1:30,NaN
2016-06-30 1:45,1.357,2017-06-30 1:45,NaN,2018-06-30 1:45,1.349,2019-06-30 1:45,0.721,2020-06-30 1:45,NaN
2016-06-30 2:00,1.356,2017-06-30 2:00,NaN,2018-06-30 2:00,1.354,2019-06-30 2:00,0.723,2020-06-30 2:00,NaN
2016-06-30 2:15,1.356,2017-06-30 2:15,NaN,2018-06-30 2:15,1.353,2019-06-30 2:15,0.727,2020-06-30 2:15,NaN
2016-06-30 2:30,1.353,2017-06-30 2:30,NaN,2018-06-30 2:30,1.352,2019-06-30 2:30,0.726,2020-06-30 2:30,NaN
2016-06-30 2:45,1.358,2017-06-30 2:45,NaN,2018-06-30 2:45,1.354,2019-06-30 2:45,0.723,2020-06-30 2:45,NaN
2016-06-30 3:00,1.36,2017-06-30 3:00,NaN,2018-06-30 3:00,1.354,2019-06-30 3:00,0.723,2020-06-30 3:00,NaN
2016-06-30 3:15,1.358,2017-06-30 3:15,NaN,2018-06-30 3:15,1.354,2019-06-30 3:15,0.726,2020-06-30 3:15,NaN
2016-06-30 3:30,1.354,2017-06-30 3:30,NaN,2018-06-30 3:30,1.356,2019-06-30 3:30,0.734,2020-06-30 3:30,NaN
2016-06-30 3:45,1.359,2017-06-30 3:45,NaN,2018-06-30 3:45,1.35,2019-06-30 3:45,0.731,2020-06-30 3:45,NaN
2016-06-30 4:00,1.358,2017-06-30 4:00,NaN,2018-06-30 4:00,1.355,2019-06-30 4:00,0.728,2020-06-30 4:00,NaN
2016-06-30 4:15,1.355,2017-06-30 4:15,NaN,2018-06-30 4:15,1.357,2019-06-30 4:15,0.729,2020-06-30 4:15,NaN
2016-06-30 4:30,1.36,2017-06-30 4:30,NaN,2018-06-30 4:30,1.358,2019-06-30 4:30,0.729,2020-06-30 4:30,NaN
2016-06-30 4:45,1.36,2017-06-30 4:45,NaN,2018-06-30 4:45,1.357,2019-06-30 4:45,0.729,2020-06-30 4:45,NaN
2016-06-30 5:00,1.353,2017-06-30 5:00,NaN,2018-06-30 5:00,1.357,2019-06-30 5:00,0.729,2020-06-30 5:00,NaN
2016-06-30 5:15,1.356,2017-06-30 5:15,NaN,2018-06-30 5:15,1.367,2019-06-30 5:15,0.728,2020-06-30 5:15,NaN
2016-06-30 5:30,1.358,2017-06-30 5:30,NaN,2018-06-30 5:30,1.361,2019-06-30 5:30,0.729,2020-06-30 5:30,NaN
2016-06-30 5:45,1.359,2017-06-30 5:45,NaN,2018-06-30 5:45,1.361,2019-06-30 5:45,0.728,2020-06-30 5:45,NaN
2016-06-30 6:00,1.361,2017-06-30 6:00,NaN,2018-06-30 6:00,1.36,2019-06-30 6:00,0.729,2020-06-30 6:00,NaN
2016-06-30 6:15,1.362,2017-06-30 6:15,NaN,2018-06-30 6:15,1.358,2019-06-30 6:15,0.729,2020-06-30 6:15,NaN
2016-06-30 6:30,1.361,2017-06-30 6:30,NaN,2018-06-30 6:30,1.358,2019-06-30 6:30,0.73,2020-06-30 6:30,NaN
2016-06-30 6:45,1.359,2017-06-30 6:45,NaN,2018-06-30 6:45,1.357,2019-06-30 6:45,0.729,2020-06-30 6:45,NaN
2016-06-30 7:00,1.364,2017-06-30 7:00,NaN,2018-06-30 7:00,1.357,2019-06-30 7:00,0.73,2020-06-30 7:00,NaN
2016-06-30 7:15,1.361,2017-06-30 7:15,NaN,2018-06-30 7:15,1.365,2019-06-30 7:15,0.727,2020-06-30 7:15,NaN
2016-06-30 7:30,1.363,2017-06-30 7:30,NaN,2018-06-30 7:30,1.368,2019-06-30 7:30,0.726,2020-06-30 7:30,NaN
2016-06-30 7:45,1.362,2017-06-30 7:45,NaN,2018-06-30 7:45,1.372,2019-06-30 7:45,0.725,2020-06-30 7:45,NaN
2016-06-30 8:00,1.36,2017-06-30 8:00,NaN,2018-06-30 8:00,1.37,2019-06-30 8:00,0.723,2020-06-30 8:00,NaN
2016-06-30 8:15,1.364,2017-06-30 8:15,NaN,2018-06-30 8:15,1.37,2019-06-30 8:15,0.724,2020-06-30 8:15,NaN
2016-06-30 8:30,1.366,2017-06-30 8:30,NaN,2018-06-30 8:30,1.373,2019-06-30 8:30,0.724,2020-06-30 8:30,NaN
2016-06-30 8:45,1.367,2017-06-30 8:45,NaN,2018-06-30 8:45,1.373,2019-06-30 8:45,0.725,2020-06-30 8:45,NaN
2016-06-30 9:00,1.367,2017-06-30 9:00,NaN,2018-06-30 9:00,1.368,2019-06-30 9:00,0.728,2020-06-30 9:00,NaN
2016-06-30 9:15,1.367,2017-06-30 9:15,NaN,2018-06-30 9:15,1.366,2019-06-30 9:15,0.731,2020-06-30 9:15,NaN
2016-06-30 9:30,1.369,2017-06-30 9:30,NaN,2018-06-30 9:30,1.37,2019-06-30 9:30,0.731,2020-06-30 9:30,NaN
2016-06-30 9:45,1.372,2017-06-30 9:45,NaN,2018-06-30 9:45,1.378,2019-06-30 9:45,0.73,2020-06-30 9:45,NaN
2016-06-30 10:00,1.375,2017-06-30 10:00,NaN,2018-06-30 10:00,1.379,2019-06-30 10:00,0.731,2020-06-30 10:00,NaN
2016-06-30 10:15,1.376,2017-06-30 10:15,NaN,2018-06-30 10:15,1.383,2019-06-30 10:15,0.733,2020-06-30 10:15,NaN
2016-06-30 10:30,1.367,2017-06-30 10:30,NaN,2018-06-30 10:30,1.383,2019-06-30 10:30,0.735,2020-06-30 10:30,NaN
2016-06-30 10:45,1.368,2017-06-30 10:45,NaN,2018-06-30 10:45,1.384,2019-06-30 10:45,0.733,2020-06-30 10:45,NaN
2016-06-30 11:00,1.367,2017-06-30 11:00,NaN,2018-06-30 11:00,1.386,2019-06-30 11:00,0.733,2020-06-30 11:00,NaN
2016-06-30 11:15,1.37,2017-06-30 11:15,NaN,2018-06-30 11:15,1.388,2019-06-30 11:15,0.743,2020-06-30 11:15,NaN
2016-06-30 11:30,1.375,2017-06-30 11:30,NaN,2018-06-30 11:30,1.382,2019-06-30 11:30,0.735,2020-06-30 11:30,NaN
2016-06-30 11:45,1.372,2017-06-30 11:45,NaN,2018-06-30 11:45,1.387,2019-06-30 11:45,0.733,2020-06-30 11:45,NaN
2016-06-30 12:00,1.375,2017-06-30 12:00,NaN,2018-06-30 12:00,1.389,2019-06-30 12:00,0.735,2020-06-30 12:00,NaN
2016-06-30 12:15,1.363,2017-06-30 12:15,NaN,2018-06-30 12:15,1.38,2019-06-30 12:15,0.736,2020-06-30 12:15,NaN
2016-06-30 12:30,1.374,2017-06-30 12:30,NaN,2018-06-30 12:30,1.384,2019-06-30 12:30,0.741,2020-06-30 12:30,NaN
2016-06-30 12:45,1.378,2017-06-30 12:45,NaN,2018-06-30 12:45,1.385,2019-06-30 12:45,0.739,2020-06-30 12:45,NaN
2016-06-30 13:00,1.376,2017-06-30 13:00,NaN,2018-06-30 13:00,1.394,2019-06-30 13:00,0.742,2020-06-30 13:00,NaN
2016-06-30 13:15,1.391,2017-06-30 13:15,NaN,2018-06-30 13:15,1.395,2019-06-30 13:15,0.744,2020-06-30 13:15,NaN
2016-06-30 13:30,1.381,2017-06-30 13:30,NaN,2018-06-30 13:30,1.398,2019-06-30 13:30,0.748,2020-06-30 13:30,NaN
2016-06-30 13:45,1.39,2017-06-30 13:45,NaN,2018-06-30 13:45,1.398,2019-06-30 13:45,0.747,2020-06-30 13:45,NaN
2016-06-30 14:00,1.383,2017-06-30 14:00,NaN,2018-06-30 14:00,1.398,2019-06-30 14:00,0.748,2020-06-30 14:00,NaN
2016-06-30 14:15,1.388,2017-06-30 14:15,NaN,2018-06-30 14:15,1.41,2019-06-30 14:15,0.752,2020-06-30 14:15,NaN
2016-06-30 14:30,1.396,2017-06-30 14:30,NaN,2018-06-30 14:30,1.404,2019-06-30 14:30,0.752,2020-06-30 14:30,NaN
2016-06-30 14:45,1.398,2017-06-30 14:45,NaN,2018-06-30 14:45,1.405,2019-06-30 14:45,0.759,2020-06-30 14:45,NaN
2016-06-30 15:00,1.394,2017-06-30 15:00,NaN,2018-06-30 15:00,1.408,2019-06-30 15:00,0.756,2020-06-30 15:00,NaN
2016-06-30 15:15,1.398,2017-06-30 15:15,NaN,2018-06-30 15:15,1.412,2019-06-30 15:15,0.757,2020-06-30 15:15,NaN
2016-06-30 15:30,1.404,2017-06-30 15:30,NaN,2018-06-30 15:30,1.412,2019-06-30 15:30,0.762,2020-06-30 15:30,NaN
2016-06-30 15:45,1.411,2017-06-30 15:45,NaN,2018-06-30 15:45,1.414,2019-06-30 15:45,0.764,2020-06-30 15:45,NaN
2016-06-30 16:00,1.405,2017-06-30 16:00,NaN,2018-06-30 16:00,1.419,2019-06-30 16:00,0.76,2020-06-30 16:00,NaN
2016-06-30 16:15,1.419,2017-06-30 16:15,NaN,2018-06-30 16:15,1.424,2019-06-30 16:15,0.764,2020-06-30 16:15,NaN
2016-06-30 16:30,1.421,2017-06-30 16:30,NaN,2018-06-30 16:30,1.424,2019-06-30 16:30,0.764,2020-06-30 16:30,NaN
2016-06-30 16:45,1.406,2017-06-30 16:45,NaN,2018-06-30 16:45,1.426,2019-06-30 16:45,0.762,2020-06-30 16:45,NaN
2016-06-30 17:00,1.416,2017-06-30 17:00,NaN,2018-06-30 17:00,1.427,2019-06-30 17:00,0.769,2020-06-30 17:00,NaN
2016-06-30 17:15,1.424,2017-06-30 17:15,NaN,2018-06-30 17:15,1.426,2019-06-30 17:15,0.776,2020-06-30 17:15,NaN
2016-06-30 17:30,1.419,2017-06-30 17:30,NaN,2018-06-30 17:30,1.43,2019-06-30 17:30,0.777,2020-06-30 17:30,NaN
2016-06-30 17:45,1.427,2017-06-30 17:45,NaN,2018-06-30 17:45,1.427,2019-06-30 17:45,0.778,2020-06-30 17:45,NaN
2016-06-30 18:00,1.421,2017-06-30 18:00,NaN,2018-06-30 18:00,1.432,2019-06-30 18:00,0.783,2020-06-30 18:00,NaN
2016-06-30 18:15,1.429,2017-06-30 18:15,NaN,2018-06-30 18:15,1.436,2019-06-30 18:15,0.78,2020-06-30 18:15,NaN
2016-06-30 18:30,1.43,2017-06-30 18:30,NaN,2018-06-30 18:30,1.432,2019-06-30 18:30,0.781,2020-06-30 18:30,NaN
2016-06-30 18:45,1.421,2017-06-30 18:45,NaN,2018-06-30 18:45,1.434,2019-06-30 18:45,0.788,2020-06-30 18:45,NaN
2016-06-30 19:00,1.435,2017-06-30 19:00,NaN,2018-06-30 19:00,1.433,2019-06-30 19:00,0.786,2020-06-30 19:00,NaN
2016-06-30 19:15,1.431,2017-06-30 19:15,NaN,2018-06-30 19:15,1.435,2019-06-30 19:15,0.783,2020-06-30 19:15,NaN
2016-06-30 19:30,1.431,2017-06-30 19:30,NaN,2018-06-30 19:30,1.436,2019-06-30 19:30,0.788,2020-06-30 19:30,NaN
2016-06-30 19:45,1.429,2017-06-30 19:45,NaN,2018-06-30 19:45,1.438,2019-06-30 19:45,0.79,2020-06-30 19:45,NaN
2016-06-30 20:00,1.437,2017-06-30 20:00,NaN,2018-06-30 20:00,1.432,2019-06-30 20:00,0.788,2020-06-30 20:00,NaN
2016-06-30 20:15,1.43,2017-06-30 20:15,NaN,2018-06-30 20:15,1.435,2019-06-30 20:15,0.79,2020-06-30 20:15,NaN
2016-06-30 20:30,1.428,2017-06-30 20:30,NaN,2018-06-30 20:30,1.436,2019-06-30 20:30,0.793,2020-06-30 20:30,NaN
2016-06-30 20:45,1.422,2017-06-30 20:45,NaN,2018-06-30 20:45,1.436,2019-06-30 20:45,0.795,2020-06-30 20:45,NaN
2016-06-30 21:00,1.425,2017-06-30 21:00,NaN,2018-06-30 21:00,1.437,2019-06-30 21:00,0.792,2020-06-30 21:00,NaN
2016-06-30 21:15,1.43,2017-06-30 21:15,NaN,2018-06-30 21:15,1.438,2019-06-30 21:15,0.79,2020-06-30 21:15,NaN
2016-06-30 21:30,1.434,2017-06-30 21:30,NaN,2018-06-30 21:30,1.439,2019-06-30 21:30,0.791,2020-06-30 21:30,NaN
2016-06-30 21:45,1.433,2017-06-30 21:45,NaN,2018-06-30 21:45,1.438,2019-06-30 21:45,0.793,2020-06-30 21:45,NaN
2016-06-30 22:00,1.432,2017-06-30 22:00,NaN,2018-06-30 22:00,1.439,2019-06-30 22:00,0.789,2020-06-30 22:00,NaN
2016-06-30 22:15,1.43,2017-06-30 22:15,NaN,2018-06-30 22:15,1.44,2019-06-30 22:15,0.794,2020-06-30 22:15,NaN
2016-06-30 22:30,1.429,2017-06-30 22:30,NaN,2018-06-30 22:30,1.439,2019-06-30 22:30,0.794,2020-06-30 22:30,NaN
2016-06-30 22:45,1.428,2017-06-30 22:45,NaN,2018-06-30 22:45,1.44,2019-06-30 22:45,0.796,2020-06-30 22:45,NaN
2016-06-30 23:00,1.426,2017-06-30 23:00,NaN,2018-06-30 23:00,1.44,2019-06-30 23:00,0.795,2020-06-30 23:00,NaN
2016-06-30 23:15,1.429,2017-06-30 23:15,NaN,2018-06-30 23:15,1.443,2019-06-30 23:15,0.796,2020-06-30 23:15,NaN
2016-06-30 23:30,1.427,2017-06-30 23:30,NaN,2018-06-30 23:30,1.446,2019-06-30 23:30,0.795,2020-06-30 23:30,NaN
2016-06-30 23:45,1.425,2017-06-30 23:45,NaN,2018-06-30 23:45,1.443,2019-06-30 23:45,0.797,2020-06-30 23:45,NaN
2016-07-01 0:00,1.424,2017-07-01 0:00,NaN,2018-07-01 0:00,1.445,2019-07-01 0:00,0.793,2020-07-01 0:00,NaN
2016-07-01 0:15,1.425,2017-07-01 0:15,NaN,2018-07-01 0:15,1.447,2019-07-01 0:15,0.796,2020-07-01 0:15,NaN
2016-07-01 0:30,1.427,2017-07-01 0:30,NaN,2018-07-01 0:30,1.441,2019-07-01 0:30,0.801,2020-07-01 0:30,NaN
2016-07-01 0:45,1.424,2017-07-01 0:45,NaN,2018-07-01 0:45,1.441,2019-07-01 0:45,0.803,2020-07-01 0:45,NaN
2016-07-01 1:00,1.431,2017-07-01 1:00,NaN,2018-07-01 1:00,1.441,2019-07-01 1:00,0.797,2020-07-01 1:00,NaN
2016-07-01 1:15,1.431,2017-07-01 1:15,NaN,2018-07-01 1:15,1.444,2019-07-01 1:15,0.798,2020-07-01 1:15,NaN
2016-07-01 1:30,1.435,2017-07-01 1:30,NaN,2018-07-01 1:30,1.442,2019-07-01 1:30,0.798,2020-07-01 1:30,NaN
2016-07-01 1:45,1.436,2017-07-01 1:45,NaN,2018-07-01 1:45,1.444,2019-07-01 1:45,0.801,2020-07-01 1:45,NaN
2016-07-01 2:00,1.437,2017-07-01 2:00,NaN,2018-07-01 2:00,1.443,2019-07-01 2:00,0.805,2020-07-01 2:00,NaN
2016-07-01 2:15,1.432,2017-07-01 2:15,NaN,2018-07-01 2:15,1.442,2019-07-01 2:15,0.8,2020-07-01 2:15,NaN
2016-07-01 2:30,1.433,2017-07-01 2:30,NaN,2018-07-01 2:30,1.442,2019-07-01 2:30,0.804,2020-07-01 2:30,NaN
2016-07-01 2:45,1.436,2017-07-01 2:45,NaN,2018-07-01 2:45,1.444,2019-07-01 2:45,0.803,2020-07-01 2:45,NaN
2016-07-01 3:00,1.433,2017-07-01 3:00,NaN,2018-07-01 3:00,1.446,2019-07-01 3:00,0.803,2020-07-01 3:00,NaN
2016-07-01 3:15,1.432,2017-07-01 3:15,NaN,2018-07-01 3:15,1.444,2019-07-01 3:15,0.804,2020-07-01 3:15,NaN
2016-07-01 3:30,1.429,2017-07-01 3:30,NaN,2018-07-01 3:30,1.443,2019-07-01 3:30,0.801,2020-07-01 3:30,NaN
2016-07-01 3:45,1.43,2017-07-01 3:45,NaN,2018-07-01 3:45,1.444,2019-07-01 3:45,0.803,2020-07-01 3:45,NaN
2016-07-01 4:00,1.428,2017-07-01 4:00,NaN,2018-07-01 4:00,1.444,2019-07-01 4:00,0.801,2020-07-01 4:00,NaN
2016-07-01 4:15,1.428,2017-07-01 4:15,NaN,2018-07-01 4:15,1.444,2019-07-01 4:15,0.803,2020-07-01 4:15,NaN
2016-07-01 4:30,1.429,2017-07-01 4:30,NaN,2018-07-01 4:30,1.445,2019-07-01 4:30,0.805,2020-07-01 4:30,NaN
2016-07-01 4:45,1.43,2017-07-01 4:45,NaN,2018-07-01 4:45,1.444,2019-07-01 4:45,0.802,2020-07-01 4:45,NaN
2016-07-01 5:00,1.428,2017-07-01 5:00,NaN,2018-07-01 5:00,1.447,2019-07-01 5:00,0.8,2020-07-01 5:00,NaN
2016-07-01 5:15,1.43,2017-07-01 5:15,NaN,2018-07-01 5:15,1.446,2019-07-01 5:15,0.803,2020-07-01 5:15,NaN
2016-07-01 5:30,1.429,2017-07-01 5:30,NaN,2018-07-01 5:30,1.445,2019-07-01 5:30,0.801,2020-07-01 5:30,NaN
2016-07-01 5:45,1.431,2017-07-01 5:45,NaN,2018-07-01 5:45,1.445,2019-07-01 5:45,0.798,2020-07-01 5:45,NaN
2016-07-01 6:00,1.429,2017-07-01 6:00,NaN,2018-07-01 6:00,1.447,2019-07-01 6:00,0.797,2020-07-01 6:00,NaN
2016-07-01 6:15,1.431,2017-07-01 6:15,NaN,2018-07-01 6:15,1.447,2019-07-01 6:15,0.798,2020-07-01 6:15,NaN
2016-07-01 6:30,1.432,2017-07-01 6:30,NaN,2018-07-01 6:30,1.445,2019-07-01 6:30,0.801,2020-07-01 6:30,NaN
2016-07-01 6:45,1.437,2017-07-01 6:45,NaN,2018-07-01 6:45,1.446,2019-07-01 6:45,0.802,2020-07-01 6:45,NaN
2016-07-01 7:00,1.431,2017-07-01 7:00,NaN,2018-07-01 7:00,1.445,2019-07-01 7:00,0.797,2020-07-01 7:00,NaN
2016-07-01 7:15,1.434,2017-07-01 7:15,NaN,2018-07-01 7:15,1.445,2019-07-01 7:15,0.801,2020-07-01 7:15,NaN
2016-07-01 7:30,1.431,2017-07-01 7:30,NaN,2018-07-01 7:30,1.444,2019-07-01 7:30,0.8,2020-07-01 7:30,NaN
2016-07-01 7:45,1.433,2017-07-01 7:45,NaN,2018-07-01 7:45,1.445,2019-07-01 7:45,0.802,2020-07-01 7:45,NaN
2016-07-01 8:00,1.435,2017-07-01 8:00,NaN,2018-07-01 8:00,1.444,2019-07-01 8:00,0.799,2020-07-01 8:00,NaN
2016-07-01 8:15,1.437,2017-07-01 8:15,NaN,2018-07-01 8:15,1.445,2019-07-01 8:15,0.801,2020-07-01 8:15,NaN
2016-07-01 8:30,1.439,2017-07-01 8:30,NaN,2018-07-01 8:30,1.446,2019-07-01 8:30,0.804,2020-07-01 8:30,NaN
2016-07-01 8:45,1.449,2017-07-01 8:45,NaN,2018-07-01 8:45,1.446,2019-07-01 8:45,0.805,2020-07-01 8:45,NaN
2016-07-01 9:00,1.441,2017-07-01 9:00,NaN,2018-07-01 9:00,1.446,2019-07-01 9:00,0.806,2020-07-01 9:00,NaN
2016-07-01 9:15,1.442,2017-07-01 9:15,NaN,2018-07-01 9:15,1.445,2019-07-01 9:15,0.802,2020-07-01 9:15,NaN
2016-07-01 9:30,1.441,2017-07-01 9:30,NaN,2018-07-01 9:30,1.445,2019-07-01 9:30,0.802,2020-07-01 9:30,NaN
2016-07-01 9:45,1.443,2017-07-01 9:45,NaN,2018-07-01 9:45,1.444,2019-07-01 9:45,0.804,2020-07-01 9:45,NaN
2016-07-01 10:00,1.451,2017-07-01 10:00,NaN,2018-07-01 10:00,1.446,2019-07-01 10:00,0.806,2020-07-01 10:00,NaN
2016-07-01 10:15,1.446,2017-07-01 10:15,NaN,2018-07-01 10:15,1.448,2019-07-01 10:15,0.808,2020-07-01 10:15,NaN
2016-07-01 10:30,1.452,2017-07-01 10:30,NaN,2018-07-01 10:30,1.45,2019-07-01 10:30,0.807,2020-07-01 10:30,NaN
2016-07-01 10:45,1.449,2017-07-01 10:45,NaN,2018-07-01 10:45,1.45,2019-07-01 10:45,0.808,2020-07-01 10:45,NaN
2016-07-01 11:00,1.449,2017-07-01 11:00,NaN,2018-07-01 11:00,1.458,2019-07-01 11:00,0.807,2020-07-01 11:00,NaN
2016-07-01 11:15,1.452,2017-07-01 11:15,NaN,2018-07-01 11:15,1.453,2019-07-01 11:15,0.807,2020-07-01 11:15,NaN
2016-07-01 11:30,1.458,2017-07-01 11:30,NaN,2018-07-01 11:30,1.457,2019-07-01 11:30,0.81,2020-07-01 11:30,NaN
2016-07-01 11:45,1.458,2017-07-01 11:45,NaN,2018-07-01 11:45,1.458,2019-07-01 11:45,0.812,2020-07-01 11:45,NaN
2016-07-01 12:00,1.456,2017-07-01 12:00,NaN,2018-07-01 12:00,1.464,2019-07-01 12:00,0.817,2020-07-01 12:00,NaN
2016-07-01 12:15,1.458,2017-07-01 12:15,NaN,2018-07-01 12:15,1.462,2019-07-01 12:15,0.821,2020-07-01 12:15,NaN
2016-07-01 12:30,1.457,2017-07-01 12:30,NaN,2018-07-01 12:30,1.467,2019-07-01 12:30,0.822,2020-07-01 12:30,NaN
2016-07-01 12:45,1.464,2017-07-01 12:45,NaN,2018-07-01 12:45,1.466,2019-07-01 12:45,0.82,2020-07-01 12:45,NaN
2016-07-01 13:00,1.466,2017-07-01 13:00,NaN,2018-07-01 13:00,1.468,2019-07-01 13:00,0.822,2020-07-01 13:00,NaN
2016-07-01 13:15,1.466,2017-07-01 13:15,NaN,2018-07-01 13:15,1.468,2019-07-01 13:15,0.825,2020-07-01 13:15,NaN
2016-07-01 13:30,1.464,2017-07-01 13:30,NaN,2018-07-01 13:30,1.457,2019-07-01 13:30,0.825,2020-07-01 13:30,NaN
2016-07-01 13:45,1.473,2017-07-01 13:45,NaN,2018-07-01 13:45,1.473,2019-07-01 13:45,0.829,2020-07-01 13:45,NaN
2016-07-01 14:00,1.473,2017-07-01 14:00,NaN,2018-07-01 14:00,1.472,2019-07-01 14:00,0.832,2020-07-01 14:00,NaN
2016-07-01 14:15,1.47,2017-07-01 14:15,NaN,2018-07-01 14:15,1.479,2019-07-01 14:15,0.832,2020-07-01 14:15,NaN
2016-07-01 14:30,1.474,2017-07-01 14:30,NaN,2018-07-01 14:30,1.473,2019-07-01 14:30,0.832,2020-07-01 14:30,NaN
2016-07-01 14:45,1.472,2017-07-01 14:45,NaN,2018-07-01 14:45,1.471,2019-07-01 14:45,0.837,2020-07-01 14:45,NaN
2016-07-01 15:00,1.472,2017-07-01 15:00,NaN,2018-07-01 15:00,1.474,2019-07-01 15:00,0.834,2020-07-01 15:00,NaN
2016-07-01 15:15,1.477,2017-07-01 15:15,NaN,2018-07-01 15:15,1.477,2019-07-01 15:15,0.837,2020-07-01 15:15,NaN
2016-07-01 15:30,1.474,2017-07-01 15:30,NaN,2018-07-01 15:30,1.486,2019-07-01 15:30,0.836,2020-07-01 15:30,NaN
2016-07-01 15:45,1.478,2017-07-01 15:45,NaN,2018-07-01 15:45,1.486,2019-07-01 15:45,0.84,2020-07-01 15:45,NaN
2016-07-01 16:00,1.48,2017-07-01 16:00,NaN,2018-07-01 16:00,1.486,2019-07-01 16:00,0.838,2020-07-01 16:00,NaN
2016-07-01 16:15,1.484,2017-07-01 16:15,NaN,2018-07-01 16:15,1.485,2019-07-01 16:15,0.841,2020-07-01 16:15,NaN
2016-07-01 16:30,1.485,2017-07-01 16:30,NaN,2018-07-01 16:30,1.485,2019-07-01 16:30,0.843,2020-07-01 16:30,NaN
2016-07-01 16:45,1.492,2017-07-01 16:45,NaN,2018-07-01 16:45,1.489,2019-07-01 16:45,0.845,2020-07-01 16:45,NaN
2016-07-01 17:00,1.494,2017-07-01 17:00,NaN,2018-07-01 17:00,1.491,2019-07-01 17:00,0.844,2020-07-01 17:00,NaN
2016-07-01 17:15,1.497,2017-07-01 17:15,NaN,2018-07-01 17:15,1.489,2019-07-01 17:15,0.844,2020-07-01 17:15,NaN
2016-07-01 17:30,1.49,2017-07-01 17:30,NaN,2018-07-01 17:30,1.492,2019-07-01 17:30,0.844,2020-07-01 17:30,NaN
2016-07-01 17:45,1.492,2017-07-01 17:45,NaN,2018-07-01 17:45,1.49,2019-07-01 17:45,0.845,2020-07-01 17:45,NaN
2016-07-01 18:00,1.5,2017-07-01 18:00,NaN,2018-07-01 18:00,1.492,2019-07-01 18:00,0.847,2020-07-01 18:00,NaN
2016-07-01 18:15,1.494,2017-07-01 18:15,NaN,2018-07-01 18:15,1.492,2019-07-01 18:15,0.847,2020-07-01 18:15,NaN
2016-07-01 18:30,1.505,2017-07-01 18:30,NaN,2018-07-01 18:30,1.494,2019-07-01 18:30,0.854,2020-07-01 18:30,NaN
2016-07-01 18:45,1.501,2017-07-01 18:45,NaN,2018-07-01 18:45,1.494,2019-07-01 18:45,0.853,2020-07-01 18:45,NaN
2016-07-01 19:00,1.494,2017-07-01 19:00,NaN,2018-07-01 19:00,1.495,2019-07-01 19:00,0.853,2020-07-01 19:00,NaN
2016-07-01 19:15,1.502,2017-07-01 19:15,NaN,2018-07-01 19:15,1.497,2019-07-01 19:15,0.852,2020-07-01 19:15,NaN
2016-07-01 19:30,1.499,2017-07-01 19:30,NaN,2018-07-01 19:30,1.496,2019-07-01 19:30,0.853,2020-07-01 19:30,NaN
2016-07-01 19:45,1.498,2017-07-01 19:45,NaN,2018-07-01 19:45,1.499,2019-07-01 19:45,0.855,2020-07-01 19:45,NaN
2016-07-01 20:00,1.506,2017-07-01 20:00,NaN,2018-07-01 20:00,1.501,2019-07-01 20:00,0.861,2020-07-01 20:00,NaN
2016-07-01 20:15,1.503,2017-07-01 20:15,NaN,2018-07-01 20:15,1.496,2019-07-01 20:15,0.864,2020-07-01 20:15,NaN
2016-07-01 20:30,1.498,2017-07-01 20:30,NaN,2018-07-01 20:30,1.496,2019-07-01 20:30,0.864,2020-07-01 20:30,NaN
2016-07-01 20:45,1.5,2017-07-01 20:45,NaN,2018-07-01 20:45,1.496,2019-07-01 20:45,0.863,2020-07-01 20:45,NaN
2016-07-01 21:00,1.5,2017-07-01 21:00,NaN,2018-07-01 21:00,1.497,2019-07-01 21:00,0.862,2020-07-01 21:00,NaN
2016-07-01 21:15,1.504,2017-07-01 21:15,NaN,2018-07-01 21:15,1.499,2019-07-01 21:15,0.863,2020-07-01 21:15,NaN
2016-07-01 21:30,1.51,2017-07-01 21:30,NaN,2018-07-01 21:30,1.498,2019-07-01 21:30,0.863,2020-07-01 21:30,NaN
2016-07-01 21:45,1.51,2017-07-01 21:45,NaN,2018-07-01 21:45,1.497,2019-07-01 21:45,0.871,2020-07-01 21:45,NaN
2016-07-01 22:00,1.505,2017-07-01 22:00,NaN,2018-07-01 22:00,1.496,2019-07-01 22:00,0.869,2020-07-01 22:00,NaN
