Date,WeatherType,WeatherCode
01-Jul-2017 10:00:02,cloudy,2
01-Jul-2017 13:00:02,mixed,1
01-Jul-2017 16:00:02,mixed,1
02-Jul-2017 10:00:02,sunny,0
02-Jul-2017 13:00:02,mixed,1
02-Jul-2017 16:00:02,mixed,1
03-Jul-2017 10:00:02,mixed,1
03-Jul-2017 13:00:02,cloudy,2
03-Jul-2017 16:00:02,cloudy,2
04-Jul-2017 10:00:02,mixed,1
04-Jul-2017 13:00:02,mixed,1
04-Jul-2017 16:00:02,mixed,1
05-Jul-2017 10:00:02,sunny,0
05-Jul-2017 13:00:02,sunny,0
05-Jul-2017 16:00:02,sunny,0
06-Jul-2017 10:00:02,sunny,0
06-Jul-2017 13:00:02,sunny,0
06-Jul-2017 16:00:02,sunny,0
07-Jul-2017 10:00:02,sunny,0
07-Jul-2017 13:00:02,sunny,0
07-Jul-2017 16:00:02,cloudy,2
08-Jul-2017 10:00:02,mixed,1
08-Jul-2017 13:00:02,mixed,1
08-Jul-2017 16:00:02,sunny,0
09-Jul-2017 10:00:02,mixed,1
09-Jul-2017 13:00:02,cloudy,2
09-Jul-2017 16:00:02,mixed,1
10-Jul-2017 10:00:02,mixed,1
10-Jul-2017 13:00:02,cloudy,2
10-Jul-2017 16:00:02,cloudy,2
11-Jul-2017 10:00:02,dense smoke,3
11-Jul-2017 13:00:02,dense smoke,3
11-Jul-2017 16:00:02,dense smoke,3
12-Jul-2017 10:00:02,light smoke,4
12-Jul-2017 13:00:02,light smoke,4
12-Jul-2017 16:00:02,light smoke,4
13-Jul-2017 10:00:02,cloudy,2
13-Jul-2017 13:00:02,mixed,1
13-Jul-2017 16:00:02,mixed,1
14-Jul-2017 10:00:02,mixed,1
14-Jul-2017 13:00:02,mixed,1
14-Jul-2017 16:00:02,mixed,1
15-Jul-2017 10:00:02,mixed,1
15-Jul-2017 13:00:02,mixed,1
15-Jul-2017 16:00:02,mixed,1
16-Jul-2017 10:00:02,cloudy,2
16-Jul-2017 13:00:02,dense smoke,3
16-Jul-2017 16:00:02,dense smoke,3
17-Jul-2017 10:00:02,light smoke,4
17-Jul-2017 13:00:02,light smoke,4
17-Jul-2017 16:00:02,light smoke,4
18-Jul-2017 10:00:02,dense smoke,3
18-Jul-2017 13:00:02,dense smoke,3
18-Jul-2017 16:00:02,dense smoke,3
19-Jul-2017 10:00:02,light smoke,4
19-Jul-2017 13:00:02,light smoke,4
19-Jul-2017 16:00:02,light smoke,4
20-Jul-2017 10:00:02,cloudy,2
20-Jul-2017 13:20:56,cloudy,2
20-Jul-2017 16:20:56,cloudy,2
21-Jul-2017 10:00:02,cloudy,2
21-Jul-2017 13:00:02,cloudy,2
21-Jul-2017 16:00:02,cloudy,2
