Date,WeatherType,WeatherCode
19-Aug-2020 13:00:00,mixed,1
19-Aug-2020 16:00:00,cloudy,2
20-Aug-2020 10:00:00,cloudy,2
20-Aug-2020 13:00:00,cloudy,2
20-Aug-2020 16:00:00,cloudy,2
21-Aug-2020 10:00:00,cloudy,2
21-Aug-2020 13:00:00,cloudy,2
21-Aug-2020 16:00:00,cloudy,2
22-Aug-2020 10:00:00,mixed,1
22-Aug-2020 13:00:00,cloudy,2
22-Aug-2020 16:00:00,cloudy,2
23-Aug-2020 10:00:00,cloudy,2
23-Aug-2020 13:00:00,cloudy,2
23-Aug-2020 16:00:00,cloudy,2
24-Aug-2020 10:00:00,cloudy,2
24-Aug-2020 13:00:00,cloudy,2
24-Aug-2020 16:00:00,cloudy,2
25-Aug-2020 10:00:00,sunny,0
25-Aug-2020 13:00:00,mixed,1
25-Aug-2020 16:00:00,mixed,1
26-Aug-2020 10:00:00,mixed,1
26-Aug-2020 13:00:00,mixed,1
26-Aug-2020 16:00:00,cloudy,2
27-Aug-2020 10:00:00,cloudy,2
27-Aug-2020 13:00:00,mixed,1
27-Aug-2020 16:00:00,mixed,1
28-Aug-2020 10:00:00,cloudy,2
28-Aug-2020 13:00:00,cloudy,2
28-Aug-2020 16:00:00,cloudy,2
29-Aug-2020 10:00:00,sunny,0
29-Aug-2020 13:00:00,mixed,1
29-Aug-2020 16:00:00,cloudy,2
30-Aug-2020 10:00:00,sunny,0
30-Aug-2020 13:00:00,mixed,1
30-Aug-2020 16:00:00,cloudy,2
31-Aug-2020 10:00:00,cloudy,2
31-Aug-2020 13:00:00,mixed,1
31-Aug-2020 16:00:00,mixed,1
01-Sep-2020 10:00:00,cloudy,2
01-Sep-2020 13:00:00,cloudy,2
01-Sep-2020 16:00:00,cloudy,2
02-Sep-2020 10:00:00,cloudy,2
02-Sep-2020 13:00:00,cloudy,2
02-Sep-2020 16:00:00,cloudy,2
03-Sep-2020 10:00:00,cloudy,2
03-Sep-2020 13:00:00,cloudy,2
03-Sep-2020 16:00:00,cloudy,2
04-Sep-2020 10:00:00,cloudy,2
04-Sep-2020 13:00:00,cloudy,2
04-Sep-2020 16:00:00,cloudy,2
05-Sep-2020 10:00:00,mixed,1
05-Sep-2020 13:00:00,mixed,1
05-Sep-2020 16:00:00,cloudy,2
06-Sep-2020 10:00:00,mixed,1
06-Sep-2020 13:00:00,cloudy,2
06-Sep-2020 16:00:00,cloudy,2
07-Sep-2020 10:00:00,mixed,1
07-Sep-2020 13:00:00,sunny,0
07-Sep-2020 16:00:00,sunny,0
08-Sep-2020 10:00:00,mixed,1
08-Sep-2020 13:00:00,mixed,1
08-Sep-2020 16:00:00,mixed,1
09-Sep-2020 10:00:00,sunny,0
09-Sep-2020 13:00:00,sunny,0
09-Sep-2020 16:00:00,sunny,0
10-Sep-2020 10:00:00,sunny,0
10-Sep-2020 13:00:00,mixed,1
10-Sep-2020 16:00:00,sunny,0
11-Sep-2020 10:00:00,sunny,0
11-Sep-2020 13:00:00,mixed,1
11-Sep-2020 16:00:00,mixed,1
12-Sep-2020 10:00:00,cloudy,2
12-Sep-2020 13:00:00,cloudy,2
12-Sep-2020 16:00:00,cloudy,2
13-Sep-2020 10:00:00,light smoke,3
13-Sep-2020 13:00:00,dense smoke,4
13-Sep-2020 16:00:00,dense smoke,4
14-Sep-2020 10:00:00,dense smoke,4
14-Sep-2020 13:00:00,dense smoke,4
14-Sep-2020 16:00:00,dense smoke,4
15-Sep-2020 10:00:00,light smoke,3
15-Sep-2020 13:00:00,light smoke,3
15-Sep-2020 16:00:00,light smoke,3
