Date,WeatherType,WeatherCode
01-Jul-2018 10:00:02,cloudy,2
01-Jul-2018 13:00:02,cloudy,2
01-Jul-2018 16:00:02,cloudy,2
02-Jul-2018 10:00:02,cloudy,2
02-Jul-2018 13:00:02,cloudy,2
02-Jul-2018 16:00:02,cloudy,2
03-Jul-2018 10:00:02,cloudy,2
03-Jul-2018 13:00:02,cloudy,2
03-Jul-2018 16:00:02,cloudy,2
04-Jul-2018 10:00:02,cloudy,2
04-Jul-2018 13:00:02,cloudy,2
04-Jul-2018 16:00:04,mixed,1
05-Jul-2018 10:00:02,sunny,0
05-Jul-2018 13:00:04,sunny,0
05-Jul-2018 16:00:02,sunny,0
06-Jul-2018 10:00:04,cloudy,2
06-Jul-2018 13:00:02,cloudy,2
06-Jul-2018 16:00:02,cloudy,2
07-Jul-2018 10:00:02,cloudy,2
07-Jul-2018 13:00:02,cloudy,2
07-Jul-2018 16:00:02,cloudy,2
08-Jul-2018 10:00:02,mixed,1
08-Jul-2018 13:00:04,mixed,1
08-Jul-2018 16:00:04,mixed,1
09-Jul-2018 10:00:02,mixed,1
09-Jul-2018 13:00:02,cloudy,2
09-Jul-2018 16:00:02,cloudy,2
10-Jul-2018 10:00:02,cloudy,2
10-Jul-2018 13:00:02,cloudy,2
10-Jul-2018 16:00:02,cloudy,2
11-Jul-2018 10:00:04,sunny,0
11-Jul-2018 13:00:02,sunny,0
11-Jul-2018 16:00:02,sunny,0
12-Jul-2018 10:00:02,mixed,1
12-Jul-2018 13:00:02,cloudy,2
12-Jul-2018 16:00:04,mixed,1
13-Jul-2018 10:00:02,cloudy,2
13-Jul-2018 13:00:02,cloudy,2
13-Jul-2018 16:00:02,cloudy,2
14-Jul-2018 10:00:04,mixed,1
14-Jul-2018 13:00:02,sunny,0
14-Jul-2018 16:00:04,sunny,0
15-Jul-2018 10:00:04,sunny,0
15-Jul-2018 13:00:02,sunny,0
15-Jul-2018 16:00:04,sunny,0
16-Jul-2018 10:00:02,sunny,0
16-Jul-2018 13:00:04,sunny,0
16-Jul-2018 16:00:02,sunny,0
17-Jul-2018 10:00:02,sunny,0
17-Jul-2018 13:00:04,mixed,1
17-Jul-2018 16:00:02,mixed,1
18-Jul-2018 10:00:04,mixed,1
