Date,WeatherType,WeatherCode
18-Jul-2018 13:00:02,sunny,0
18-Jul-2018 16:00:04,mixed,1
19-Jul-2018 10:00:02,cloudy,2
19-Jul-2018 13:00:02,mixed,1
19-Jul-2018 16:00:02,cloudy,2
20-Jul-2018 10:00:02,cloudy,2
20-Jul-2018 13:00:02,cloudy,2
20-Jul-2018 16:00:02,cloudy,2
21-Jul-2018 10:00:02,cloudy,2
21-Jul-2018 13:00:02,cloudy,2
21-Jul-2018 16:00:02,cloudy,2
22-Jul-2018 10:00:04,mixed,1
22-Jul-2018 13:00:02,sunny,0
22-Jul-2018 16:00:04,mixed,1
23-Jul-2018 10:00:02,cloudy,2
23-Jul-2018 13:00:02,cloudy,2
23-Jul-2018 16:00:02,cloudy,2
24-Jul-2018 10:00:02,mixed,1
24-Jul-2018 13:00:02,mixed,1
24-Jul-2018 16:00:02,cloudy,2
25-Jul-2018 10:00:04,sunny,0
25-Jul-2018 13:00:04,cloudy,2
25-Jul-2018 16:00:02,cloudy,2
26-Jul-2018 10:00:02,cloudy,2
26-Jul-2018 13:00:02,cloudy,2
26-Jul-2018 16:00:02,cloudy,2
27-Jul-2018 10:00:02,sunny,0
27-Jul-2018 13:00:04,cloudy,2
27-Jul-2018 16:00:04,cloudy,2
28-Jul-2018 10:00:02,sunny,0
28-Jul-2018 13:00:02,mixed,1
28-Jul-2018 16:00:02,cloudy,2
29-Jul-2018 10:00:04,sunny,0
29-Jul-2018 13:00:02,sunny,0
29-Jul-2018 16:00:04,sunny,0
30-Jul-2018 10:00:04,sunny,0
30-Jul-2018 13:00:02,cloudy,2
30-Jul-2018 16:00:02,cloudy,2
31-Jul-2018 10:00:02,sunny,0
31-Jul-2018 13:00:04,light smoke,4
31-Jul-2018 16:00:04,light smoke,4
01-Aug-2018 10:00:02,light smoke,4
01-Aug-2018 13:00:04,light smoke,4
01-Aug-2018 16:00:02,light smoke,4
02-Aug-2018 10:00:02,light smoke,4
02-Aug-2018 13:00:02,cloudy,2
02-Aug-2018 16:00:04,cloudy,2
03-Aug-2018 10:00:04,cloudy,2
03-Aug-2018 13:00:02,cloudy,2
03-Aug-2018 16:00:02,cloudy,2
04-Aug-2018 10:00:02,cloudy,2
04-Aug-2018 13:00:02,cloudy,2
04-Aug-2018 16:00:02,cloudy,2
05-Aug-2018 10:00:04,mixed,1
05-Aug-2018 13:00:04,mixed,1
05-Aug-2018 16:00:02,mixed,1
06-Aug-2018 10:00:02,mixed,1
06-Aug-2018 13:00:02,mixed,1
06-Aug-2018 16:00:04,mixed,1
07-Aug-2018 10:00:02,light smoke,4
07-Aug-2018 13:00:02,light smoke,4
07-Aug-2018 16:00:02,light smoke,4
08-Aug-2018 10:00:02,light smoke,4
08-Aug-2018 13:00:04,light smoke,4
08-Aug-2018 16:00:02,light smoke,4
09-Aug-2018 10:00:04,light smoke,4
09-Aug-2018 13:00:04,dense smoke,3
09-Aug-2018 16:00:02,dense smoke,3
10-Aug-2018 10:00:04,dense smoke,3
10-Aug-2018 13:00:02,dense smoke,3
10-Aug-2018 16:00:02,dense smoke,3
11-Aug-2018 10:00:02,dense smoke,3
11-Aug-2018 13:00:04,dense smoke,3
11-Aug-2018 16:00:02,dense smoke,3
12-Aug-2018 10:00:02,cloudy,2
12-Aug-2018 13:00:02,cloudy,2
12-Aug-2018 16:00:02,cloudy,2
13-Aug-2018 10:00:04,mixed,1
13-Aug-2018 13:00:04,light smoke,4
13-Aug-2018 16:00:02,light smoke,4
14-Aug-2018 10:00:02,dense smoke,3
14-Aug-2018 13:00:02,dense smoke,3
14-Aug-2018 16:00:02,dense smoke,3
15-Aug-2018 10:00:02,dense smoke,3
15-Aug-2018 13:00:02,dense smoke,3
15-Aug-2018 16:00:04,dense smoke,3
16-Aug-2018 10:00:02,light smoke,4
16-Aug-2018 13:00:04,dense smoke,3
16-Aug-2018 16:00:02,dense smoke,3
17-Aug-2018 10:00:02,light smoke,4
17-Aug-2018 13:00:02,dense smoke,3
17-Aug-2018 16:00:04,dense smoke,3
18-Aug-2018 10:00:02,dense smoke,3
18-Aug-2018 13:00:02,dense smoke,3
18-Aug-2018 16:00:02,dense smoke,3
19-Aug-2018 10:00:02,dense smoke,3
19-Aug-2018 13:00:02,dense smoke,3
19-Aug-2018 16:00:02,dense smoke,3
20-Aug-2018 10:00:04,light smoke,4
20-Aug-2018 13:00:04,light smoke,4
20-Aug-2018 16:00:02,light smoke,4
21-Aug-2018 10:00:02,light smoke,4
21-Aug-2018 13:00:02,light smoke,4
21-Aug-2018 16:00:04,light smoke,4
22-Aug-2018 10:00:02,dense smoke,3
22-Aug-2018 13:00:02,dense smoke,3
22-Aug-2018 16:00:04,dense smoke,3
23-Aug-2018 10:00:02,dense smoke,3
23-Aug-2018 13:00:02,dense smoke,3
23-Aug-2018 16:00:02,dense smoke,3
24-Aug-2018 10:00:02,dense smoke,3
24-Aug-2018 13:00:02,dense smoke,3
24-Aug-2018 16:00:02,dense smoke,3
25-Aug-2018 10:00:02,dense smoke,3
25-Aug-2018 13:00:02,dense smoke,3
25-Aug-2018 16:00:04,dense smoke,3
26-Aug-2018 10:00:02,cloudy,2
26-Aug-2018 13:00:02,cloudy,2
26-Aug-2018 16:00:02,cloudy,2
27-Aug-2018 10:00:02,cloudy,2
27-Aug-2018 13:00:02,mixed,1
27-Aug-2018 16:00:02,mixed,1
28-Aug-2018 10:00:02,cloudy,2
28-Aug-2018 13:00:02,cloudy,2
28-Aug-2018 16:00:02,cloudy,2
29-Aug-2018 10:00:02,cloudy,2
29-Aug-2018 13:00:04,cloudy,2
29-Aug-2018 16:00:02,cloudy,2
30-Aug-2018 10:00:02,cloudy,2
30-Aug-2018 13:00:02,cloudy,2
30-Aug-2018 16:00:02,cloudy,2
31-Aug-2018 10:00:02,cloudy,2
31-Aug-2018 13:00:02,cloudy,2
31-Aug-2018 16:00:04,cloudy,2
01-Sep-2018 10:00:04,mixed,1
01-Sep-2018 13:00:02,mixed,1
01-Sep-2018 16:00:02,cloudy,2
02-Sep-2018 10:00:02,cloudy,2
02-Sep-2018 13:00:02,cloudy,2
02-Sep-2018 16:00:02,cloudy,2
03-Sep-2018 10:00:02,cloudy,2
03-Sep-2018 13:00:02,cloudy,2
03-Sep-2018 16:00:04,cloudy,2
04-Sep-2018 10:00:04,sunny,0
04-Sep-2018 13:00:02,sunny,0
04-Sep-2018 16:00:02,sunny,0
05-Sep-2018 10:00:02,sunny,0
05-Sep-2018 13:00:02,mixed,1
05-Sep-2018 16:00:02,sunny,0
06-Sep-2018 10:00:04,sunny,0
06-Sep-2018 13:00:02,cloudy,2
06-Sep-2018 16:00:02,cloudy,2
07-Sep-2018 10:00:02,light smoke,4
07-Sep-2018 13:00:02,light smoke,4
07-Sep-2018 16:00:04,cloudy,2
08-Sep-2018 10:00:04,cloudy,2
08-Sep-2018 13:00:02,cloudy,2
08-Sep-2018 16:00:02,mixed,1
09-Sep-2018 10:00:02,cloudy,2
09-Sep-2018 13:00:04,cloudy,2
09-Sep-2018 16:00:02,cloudy,2
10-Sep-2018 10:00:04,mixed,1
10-Sep-2018 13:00:04,mixed,1
10-Sep-2018 16:00:02,cloudy,2
11-Sep-2018 10:00:02,cloudy,2
11-Sep-2018 13:00:02,cloudy,2
11-Sep-2018 16:00:02,cloudy,2
12-Sep-2018 10:00:02,mixed,1
12-Sep-2018 13:00:04,cloudy,2
12-Sep-2018 16:00:02,cloudy,2
13-Sep-2018 10:00:02,cloudy,2
13-Sep-2018 13:00:04,cloudy,2
13-Sep-2018 16:00:02,cloudy,2
14-Sep-2018 10:00:02,cloudy,2
14-Sep-2018 13:00:02,cloudy,2
14-Sep-2018 16:00:02,cloudy,2
15-Sep-2018 10:00:02,cloudy,2
15-Sep-2018 13:00:04,cloudy,2
15-Sep-2018 16:00:02,cloudy,2
